Issue key,priority,catastropic,symptom,"how to detect: 1) clear symptom (exception, crash, service stop/irresponsive - all those easy to detect symptoms), 2) data loss/corruption (can be detected by read & compare), 3) gray failure (performance degradation, flaky I/O, some observer considers it failure but others don't - i.e., there's no objective criteria), 4) not clear",root cause category,root cause,data syntax or semantics,persistent data or network,"does it require operation other than upgrade and common user read and write? If so, is the special operation in any existing unit test? ",rolling upgrade?,need special configuration? ,version gap,Created,new version release time,caught after release? ,major,minor,min # of nodes,deterministic? ,reproduction requirements,is upgrade + stress testing enough?,does existing unit test help?
CASSANDRA-15811,normal,yes,Severe service quality degradation during rolling upgrade,,,data migration,data syntax,persistent data,"yes

used compact storage in 3.x because is has “compact” in the name.",yes,no,3.x to 4.x,13/May/20 15:47,,no. but this is because we reported a bug using our testing framework,1,,,,,,
CASSANDRA-13939,normal,yes,"Incorrect service result (failed read/write requests, UI error, etc.)",,,incomplete deserializer,data syntax,persistent data,"yes

read legacy files",no,no,2.x to 3.x,08/Apr/19 02:51,3.0.0: Mon Nov 9 12:36:30 2015,yes,1,,,,,,
CASSANDRA-15970,normal,yes,"Whole cluster down (all nodes crash, master node crash)",,,"
data migration",data syntax,persistent data,"yes

The schema had a collection type in 2.1
a collection range tombstone happened in 2.1
the row only had the RT, no other cells
the collection was dropped in 2.1
3.0 detected the collection was deleted and ignored the cell
3.0 produced an empty row with a null clustering key (since we skipped the RT)",no,no,2.1 to 3.0,22/Jul/20 05:18,3.0.0: Mon Nov 9 12:36:30 2015,yes,1,,,,,,
CASSANDRA-16525,normal,yes,"Incorrect service result (failed read/write requests, UI error, etc.)",,,missing deserializer,data syntax,message,no,yes,no,3.x to 4.0,30/Oct/19 14:51,,no,1,,,,,,
CASSANDRA-15727,normal,yes,Severe service quality degradation during rolling upgrade,,,logic issue,,,no,yes,no,3.0 to 4.0,15/Apr/20 03:06,,no,1,,,,,,
CASSANDRA-14803,Urgent,yes,"Incorrect service result (failed read/write requests, UI error, etc.)",,,missing deserializer,data syntax,persistent data,no,no,no,2.1 to 3.x,03/Oct/18 18:34,3.0.0: Mon Nov 9 12:36:30 2015,yes,1,,,,,,
HBASE-25238,Critical,yes,"Whole cluster down (all nodes crash, master node crash)

hmaster throw execption",,,proto,data syntax,message,no,yes,no,2.2.0 to 2.3.0,03/Nov/20 3:14,2.3.0: Mon Jul 13 09:51:26 2020,yes,,1,,,,,
HBASE-22503,Blocker,yes,"Incorrect service result (failed read/write requests, UI error, etc.)",,,missing deserializer,data syntax,persistent data,no,no,no,2.1.0 to 2.2.0,30/May/19 7:50,2.2.0: Thu Jul 25 08:53:40 2019,no,,1,,,,,
HBASE-24518,Major,Unknown,Unknown,,,logic issue,,,yes,yes,no,1.x to 2.x,08/Jun/20 13:46,2.x: 2.0.0: Sun Apr 29 22:16:38 2018,yes,1,,,,,,
HBASE-23694,Major,yes,"Whole cluster down (all nodes crash, master node crash)",,,logic issue,,,yes,no,no,N/A,15/Jan/20 16:55,3,no,1,,,,,,
HDFS-14726,Blocker,yes,"Part of cluster down (part of worker nodes down, secondary master down) ",,,proto,data syntax,message,no ,yes,no,2.9 to 2.10.0,12/Aug/19 20:36,"3.0.0-alpha: Tue Sep 6 09:35:17 2016
3.0.0: Mon Dec 18 16:52:16 2017",yes,,1,,,,,
HDFS-14831,Major,yes,"Data loss and data corruption

downgrade failed",,,missing deserializer,data syntax,persistent data,no,no,no,3.2.0 to 2.7,07/Sep/19 10:18,3.2.0: Mon Jan 21 17:53:47 2019,yes,1,,,,,,
HDFS-15610,Major,yes,Performance degradation,,,mis-configuration,,,no,yes,yes,2.x to 3.x,01/Oct/20 0:52,3.0.0: Mon Dec 18 16:52:16 2017,yes,1,,,,,,
HDFS-14509,Blocker,yes,"Incorrect service result (failed read/write requests, UI error, etc.)",,,proto logic issue,data semantics,message,yes,yes,no,2.x to 3.x,23/May/19 12:42,3.0.0: Mon Dec 18 16:52:16 2017,yes,1,,,,,,
HDFS-15624,Major,yes,"Part of cluster down (part of worker nodes down, secondary master down)",,,"missing deserializer
(enum)",data syntax,message,no,yes,no,3.2.1 to 3.3.0,10/Oct/20 3:54,3.4.0: ,no,,1,,,,,
HDFS-15660,Major,yes,"Whole cluster down (all nodes crash, master node crash)",,,proto,data syntax,message,no,yes,no,2.6 to 3.x,28/Oct/20 10:03,3.0.0: Mon Dec 18 16:52:16 2017,yes,1,,,,,,
HDFS-13596,Blocker,yes,"Part of cluster down (part of worker nodes down, secondary master down)",,,incomplete version management,data semantics,persistent data,no,yes,no,2.x to 3.x,18/May/18 21:22,3.0.0: Mon Dec 18 16:52:16 2017,yes,1,,,,,,
HDFS-14396,Blocker,yes,"Part of cluster down (part of worker nodes down, secondary master down)",,,missing deserializer,data syntax,persistent data,no,no,no,2.x to 3.x,28/Mar/19 14:23,3.2.1: Mon Sep 23 04:26:08 2019,no,1,,,,,,
YARN-8310,Major,yes,"Whole cluster down (all nodes crash, master node crash)",,,missing deserializer,data syntax,message,no,yes,no,2.5.0 to 2.6.0,30/Aug/16 15:14,3.0.0: Mon Dec 18 16:52:16 2017,no,,1,,,,,
YARN-8300,Major,yes,"Whole cluster down (all nodes crash, master node crash)",,,logic issue,,,no,yes,no,N/A,15/May/18 21:09,Wed Aug 8 11:20:34 2018,no,1,,,,,,
ZOOKEEPER-3644,Blocker,yes,"Data loss and data corruption

znodes missing",,,logic issue,,,"yes

list the znodes using zkshell",no,"yes

empty=True",3.4.14 to 3.5.6,10/Dec/19 15:38,3.5.6:  Wed Oct 16 02:24:39 2019,yes,,1,,,,,
ZOOKEEPER-3156,Blocker,yes,Severe service quality degradation during rolling upgrade,,,logic issue,,,no,yes,no,3.4.13 to 3.4.12,26/Sep/18 17:20,3.4.13: Sun Jul 15 20:29:47 2018,yes,,< 1,,,,,
ZOOKEEPER-3056,Critical,yes,Data loss and data corruption,,,logic issue,,,no,no,no,3.4.10 to 3.5.4 ,05/Jun/18 15:03,3.5.4: Wed May 16 15:36:51 2018,yes,,1,,,,,
KAFKA-7959,Major,yes,Data loss and data corruption,,,incomplete version management,data semantics,message,no,yes,no,1.x to 2.x,,,"N/A, not released",1,,,,,,
KAFKA-10173,Blocker,yes,"Whole cluster down (all nodes crash, master node crash)",,,missing deserializer,data syntax ,persistent data,no,no,no,2.3.1 to 2.5.0,16/Jun/20 13:58,Tue Apr 14 13:19:24 2020,yes,,2,,,,,
KAFKA-7601,Major,yes,Data loss and data corruption,,,incomplete version management,data semantics,message,no,yes,no,1.x to 2.x,06/Nov/18 17:38,2.0.0: Sat Jul 28 11:21:10 2018,yes,1,,,,,,
MESOS-9740,Blocker,yes,"Part of cluster down (part of worker nodes down, secondary master down)",,,proto logic issue,data semantics,message,no,yes,no,1.7.x to 1.8.0,24/Apr/19 4:04,1.8.0: Thu May 2 16:59:09 2019,no,,1,,,,,
HBASE-6316,Blocker,yes,1) whole cluster down,1) clear symptom,1.1) data format incompatibility,"incomplete deserializer
by an improvement HBASE-6316",,P,,,,2 minor,03/Jul/12 14:07,2013-10-19,no,,2,1,,2) upgrade + any data on old system,yes,
CASSANDRA-1545,Urgent,yes,1) whole cluster down,1) clear symptom,1.2) data related logic error in full-stop upgrade,serialization library logic issue （thrift),,P,,,,< 1 minor,24/Sep/10 19:33,2011-01-10,no,,< 1 minor,1,,2) upgrade + any data on old system (Some specific strategies are required. Stress testing can generate such data.),yes,
CASSANDRA-10743,Normal,yes,1) whole cluster down,1) clear symptom,1.1) data format incompatibility,data migration + on disk ,,P,,,,1 major,20/Nov/15 17:16,2015-11-09,yes,,1 major,1,,3) special data format (a sstable index block finish in the middle of a collection tombstone),no,not clear
CASSANDRA-6733,Normal,yes (read on super column family all fail),6) incorrect service result,1) clear symptom,1.1) data format incompatibility,"incomplete deserializer

caused by CASSANDRA-6778",,P,,,,1 major,19/Feb/14 14:18,2014-02-07,yes,,1 major,1,,3) special data format (super column family),no,unit test help
CASSANDRA-13441,Normal,yes,3) performance degradation,3) gray failure,2) data-unrelated bug or logic error in upgrade operation itself,logic issue,,N/A,,,,N/A,12/Apr/17 18:23,2015-11-09,yes,,N/A,"2 (2 nodes can reproduce the cause, but the symptom may not be as bad)",,1) upgrade,yes,
CASSANDRA-6678,Normal,no,4) data corruption?,3) gray failure (if no exception got thrown),1.2) data related logic error in rolling upgrade ,"version management + data semantic

caused by CASSANDRA-5692",,R (network),,,,1 major,07/Feb/14 13:33,2013-01-02,yes,,1 major,2,no,"if it needs special configuration or operation, does existing unit test help?",yes,
CASSANDRA-9116,Urgent,yes,4) data loss,2) data loss,1.1) data format incompatibility," incomplete deserializer + on disk 

Yes, caused by CASSANDRA-5202 ",,P (dir structure),,,,1 minor,03/Apr/15 20:57,2015-04-01,yes,,1 minor,1,,3) special data format (index),no,unit test help
HDFS-7302,Major,yes (upgrade fails),"8) unknown, system state corruption",3) gray failure,2) data-unrelated bug or logic error in upgrade operation itself,logic issue,,N/A,,,,N/A,28/Oct/14 20:08,N/A (cannot find affected version anywhere),N/A,,N/A,2,,4) special operation (downgrade) + 6) special timing constraint,no,"yes (they actually has upgrade tests using MiniCluster, they tested downgrade)"
HDFS-9752,Critical,no,6) incorrect service result,1) clear symptom,2) data-unrelated bug or logic error in upgrade operation itself,logic issue,,N/A,,,,N/A,03/Feb/16 22:11,N/A (cannot find affected version anywhere),N/A,,N/A,2,no,"1) upgrade + 6) special timing (if the client is holding the stream open without writing any data during rolling upgrade, a permanent write failure can occur.",yes,
CASSANDRA-6598,Normal,yes,1) whole cluster down,1) clear symptom,1.1) data format incompatibility (across 3 versions),data migration,,P,,,,1 major,16/Jan/14 18:16,2013-09-03,yes,,1 major,1,,4) special operation (multiple consecutive upgrade),no (need multiple upgrades),
CASSANDRA-8462,Normal,no,7) part of cluster down,1) clear symptom,1.3) data related logic error in a mixed cluster,"incomplete version management

https://docs.google.com/document/d/1tvAunDLSC_I-CV8oyK-kXBmJiIKt2TaiosBb4u5nY7w/edit?usp=sharing ",,R,,,,1 minor,11/Dec/14 18:47,2014-11-10,yes,,1 minor,2,,"4) special operation (restarting old version node during rolling upgrade, note the restarted node is not restarted with new version)",no (need to add new node to cluster and then restart old node),yes. unit test
CASSANDRA-6619,Low,yes,5) rolling upgrade failure,"3) gray failure (high read latency, some failed writes, stuck, hang)",1.3) data related logic error in a mixed cluster,"incomplete version management + data semantic problem

caused by CASSANDRA-5692",,R (involves different version number constant),,,,1 minor,25/Jan/14 11:20,2013-01-02,yes,,1 minor,2,no,1) upgrade + 6) special timing (high write/read latency during upgrading,yes,
YARN-9084,Major,no,"8) unknown, system state corruption",3) gray failure,2) data-unrelated bug or logic error in upgrade operation itself,"logic issue

caused by YARN-9071",,N/A,,,,N/A,05/Dec/18 20:41,2019-02-05,no,,N/A,1,,1) upgrade,yes,
HDFS-6340,Blocker,yes,1) whole cluster down,3) gray failure,2) data-unrelated bug or logic error in upgrade operation itself,"logic issue

caused by HDFS-5153 (an improvemennt to solve performance issue)",,N/A,,,,2 minor,04/May/14 16:25,2014-04-10,yes,,2 minor,1,,1) upgrade,yes,
HBASE-10581,Critical,yes,2) master down,1) clear symptom,1.1) data format incompatibility,missing deserializer,,P,,,,2 minor,21/Feb/14 1:01,2013-10-19,yes,,2 minor,1,,1) upgrade ,yes,
HBASE-2025,Blocker,yes,5) rolling upgrade failure,1) clear symptom,1.3) data related logic error in a mixed cluster,logic issue,,R (RPC),,,,< 1 minor,02/Dec/09 21:11,2010-05-18,no,,< 1 minor,2,,1) upgrade,yes,
HDFS-6601,Blocker,yes,2) master down,1) clear symptom,2) data-unrelated bug or logic error in upgrade operation itself,,,N/A,,,,N/A,24/Jun/14 20:19,2015-11-19,no,,N/A,1,,1) upgrade,yes,
HDFS-1936,Blocker,yes,1) whole cluster down,1) clear symptom,1.2) data-related logic error in full stop upgrade,"data semantic + incomplete version management

caused by 
Sub-task - The sub-task of the issue HDFS-1842 Cannot upgrade 0.20.203 to 0.21 with an editslog present        Blocker - Blocks development and/or testing work, production could not run RESOLVED
Bug - A problem which impairs or prevents the functions of the product. HDFS-1822 Editlog opcodes overlap between 20 security and later releases        Blocker - Blocks development and/or testing work, production could not run CLOSED
",,P,,,,1 minor,13/May/11 16:51,2011-12-11,no,,1 minor,1,,1) upgrade,yes,
CASSANDRA-4195,Normal,"yes, can't serve read/write in a mixed cluster",5) rolling upgrade failure,1) clear symptom,1.1) data format incompatibility,missing deserializer,,R,,,,1 minor,30/Apr/12 14:17,2012-04-24,yes,,1 minor,2,,1) upgrade,yes,
CASSANDRA-11315,Normal,yes,1) whole cluster down,1) clear symptom,1.1) data format incompatibility,incomplete deserializer in data migration,,P,,,,1 major,08/Mar/16 11:46,2016-02-09,yes,1 major,any,1,,3) special data format (create a table with is_dense flag set to true),yes,yes. unit test has is_dense
ZOOKEEPER-1805,Blocker,yes,5) rolling upgrade failure,1) clear symptom,2) data-unrelated bug or logic error in upgrade operation itself,,,N/A,,,,N/A,30/Oct/13 3:18,"2014-03-12 (not clearly stated, maybe rolling upgrade from 3.4.5 to trunk at that time)",no,,N/A,3,no,6) special timing (but simple rolling upgrade could trigger it from time to time),no (special timing),
KAFKA-7403,Blocker,yes,7) part of cluster down,1) clear symptom,1.3) data related logic error in a mixed cluster,"logic issue
casued by kafka-4682",,R,,,,2 major,11/Sep/18 23:52,2018-07-28,yes,2 major,any,2,,"5) special coniguration (inter.broker.protocol.version was set to ""1.0"" prior to the upgrade ",yes,
YARN-9056,Critical,no,"8) unknown, system state corruption",3) gray failure,2) data-unrelated bug or logic error in upgrade operation itself,,,N/A,,,,N/A,26/Nov/18 22:33,2019-02-05,no,,N/A,1,,1) upgrade,yes,
YARN-8346,Blocker,yes,3) performance degradation,3) gray failure,1.2) data related logic error in full-stop upgrade ,serialization library logic issue,,P (work preserving NM restart),,,,1 major,23/May/18 12:30,2018-04-05,yes,1 major,any,1,,1) upgrade,yes,
MAPREDUCE-5939,Major,no,6) incorrect service result,3) gray failure,1.1) data format incompatibility,"missing deserializer + on disk

caused by MAPREDUCE-5052",,P,,,,2 major,23/Jun/14 20:13,2015-11-09,no,2 major,any,1,,1) upgrade,yes,
CASSANDRA-6732,Normal,yes,4) data loss,3) gray failure,1.1) data format incompatibility,"missing deserializer

by improvement CASSANDRA-3617 ",,R,,,,1 minor,19/Feb/14 13:17,2014-02-07,yes,,1 minor,2,,5) special configuration (multiple data center),yes,yes. unit test covers multiple dc
HDFS-6981,Major,no,4) data loss,2) data loss,2) data-unrelated bug or logic error in upgrade operation itself,"logic issue

by improvement HDFS-6800",,N/A,,,,1 minor,01/Sep/14 21:40,2014-11-30,no,,1 minor,1,,3) special data format (created by a special complicated combination of normal read/write) + 4)special operation (rollback?),no,"no, don't think this complicated scenario is covered in test"
KAFKA-6238,Major,yes,1) whole cluster down,1) clear symptom,3) misconfiguration,"serialization library + incomplete version management

seems incomplete version management, but it's related to serialization library (proto)
should we add the version management in the subcattegory of serialization library issue


",,configuration,,,,1 major,20/Nov/17 11:05,2017-10-31,yes,,1 major,1,,5) special config (old config from old version),yes,yes. test case
CASSANDRA-5696,Normal,no,"8) unknown, system state corruption",1) clear symptom,1.1) data format incompatibility,missing deserializer,,R,,,,1 minor,24/Jun/13 21:34,2013-01-02,yes,,1 minor,2,,1) upgrade (rolling upgrade),"no (need to have decomissioned nodes first, then perform a rolling upgrade)",
CASSANDRA-12423,Normal,no,4) data loss,2) data loss,1.1) data format incompatibility,"incomplete deserializer in data migration

？Did not understand quite clearly. From developers' description, it seems like it's a incomplete deserializer in data migration ",,P,,,,1 major,10/Aug/16 8:27,2015-11-09,yes,1 major,any,1,,3) special data format (created by combination of nomal operations),no (delete needs to be performed with EOC parameter = 0),"no, how to set EOC=0 is hard"
HBASE-9973,Major,yes (indirectly influence users),4) data loss,"1) clear symptom (admin loses permission, has to use admin to trigger)",1.1) data format incompatibility,data migration,,P,,,,2 minor,14/Nov/13 19:09,2013-10-19,yes,,2 minor,1,,1) upgrade,yes,
HDFS-11856,Major,no,6) incorrect service result,3) gray failure,2) data-unrelated bug or logic error in upgrade operation itself,logic issue,,N/A,,,,N/A,19/May/17 12:13,2016-08-25,yes,,N/A,2,no,1) upgrade + 6) special timing,yes,
CASSANDRA-13320,Normal,yes,1) whole cluster down,1) clear symptom,1.1) data format incompatibility,data migration,,P,,,,1 major,10/Mar/17 8:08,2017-02-21,yes,1 major,any,1,,3) special operation (tombstone required),yes,yes. unit test
HDFS-7575,Critical,no,3) performance degradation,3) gray failure,1.1) data format incompatibility,"incomplete deserializer in data migration

by a new feature HDFS-2832 ",,P,,,,3 minor,30/Dec/14 12:15,2014-02-24,yes,0,3 minor,2,,1) upgrade,yes,
YARN-6585,Blocker,yes,2) master down,1) clear symptom,1.2) data related logic error in full-stop upgrade,"serialization library logic issue

caused by a sub task YARN-6143",,P,,,,1 minor,11/May/17 18:18,2017-03-24,yes,0,1 minor,1,,3) special data format (add node labels) (Can label be generated by normal operation?),yes (need labeled nodes),yes. unit test covers node label
CASSANDRA-3849,Normal,yes,1) whole cluster down,1) clear symptom,1.2) data related logic error in full-stop upgrade ,logic error,,P,,,,1 minor,04/Feb/12 2:03,2012-04-24,no,0,1 minor,1,,"3) special data format (force saving the cache data, which is usually not saved)",yes (need to have cached data),yes. unit test covers cache
